UUID,Soubory,Typ,Původní/jiné označení -  Archivní jednotka,Původní/jiné označení -  Inventární číslo,Původní/jiné označení -  Bod schůze,Původní/jiné označení -  Signatura,Ukládací jednotka - typ,Ukládací jednotka - hodnota,Obsah
8b1269252bf141bda63341cb2016cd21,,série,,,,,,,Schůze Politického byra ÚV KSČ ze dne 13. května 1958
bc071c4bc7d24ddca202f55565b2c2e9,,série,,,,,,,Program
c67d3035b2814143a354e9c5fc09ed47,,složka,240,,0,,svazek,176,Zápis
3d6a147c1cb2444793d7f3cd8524e8d5,,složka,240,,1,,svazek,176,Projev Václava Kopeckého na sjezdu KSS
951a61c935a34f119788e6800a6805e0,,složka,240,,2,,svazek,176,Splnění zvláštní části státního plánu rozvoje národního hospodářství ČSR za I. čtvrtletí 1958
74696aa57bce43ff8bfc1f81ea1e94fb,,složka,240,,3,,svazek,176,"Koncepce vytváření místních kapacit stavební výroby v krajích Karlovarském, Ústeckém a Ostravském"
4126d6c4173748978a3886efa979e811,,složka,240,,4,,svazek,176,Opatření zahraničního obchodu proti účinkům hrozící světové kapitalistické krize
4dc3851425794fcfbab6ae24f09ff659,,složka,240,,5,,svazek,176,Prověrka výstavby zimních stadionů v ČSR
ab8a36829c714791856490f3cf2d389a,,složka,240,,6,,svazek,176,"Československa odpověď na francouzskou protestní nótu ve věci zbraní na zadržené jugoslávské lodi ""Slovenija"""
7c5610e3c5ba48d091853c190bef2744,,složka,240,,7,,svazek,176,Vyslání delegace Československého výboru obránců míru na Světový kongres za odzbrojení a mezinárodní spolupráci ve Stockholmu
488f0bae2bc141a7827d5214c280fb8f,,složka,240,,8,,svazek,176,Činnost zahraničních zpravodajů České tiskové kanceláře a Československého rozhlasu
efbe493c089a41c28e4f9ad9e026122b,,složka,240,,9,,svazek,176,Obsah a úprava XIV. svazku Spisů Klementa Gottwalda
863f1190d8c94601aaa92babfca22510,,složka,240,,10,,svazek,176,Průběh prověrky služební a stranické práce na okresních odděleních Ministerstva vnitra
28513565b8df42aba89922ce5babde2b,,složka,240,,11,,svazek,176,Procesy s členy bývalých pohotovostních oddílů Hlinkovy gardy v Bratislavě a v Banské Bystrici
696c27b1cc9442c882b6f60b868b0dab,,složka,240,,12,,svazek,176,Schválení Augustina Michaličky do funkce I. náměstka pověřence školství a kultury
58bfcc58172a4a7cbefe7e06746b6e01,,složka,240,,13,,svazek,176,Personální návrhy Ministerstva přesného strojírenství
022123eb99c6452ea02d06a7ea5fc049,,složka,240,,14,,svazek,176,Personální návrhy Ministerstva automobilového průmyslu a zemědělských strojů
e3f3ab2e4edc4d02ad6c504c49632180,,složka,240,,15,,svazek,176,Personální návrhy Ministerstva chemického průmyslu
f4054996644e4fb3aee5847670ca8ace,,složka,240,,16,,svazek,176,Zrušení ustanovení kapitána Zdeňka Puchmeltra vojenským a leteckým přidělencem ČSR v Bernu
4ddbc382982349b48fd6427540477726,,složka,240,,17,,svazek,176,Připomínky stranického aktivu na návrh tezí o perspektivním rozvoji československého školství
38358e69e2f24732b207dc6f2d6adbfa,,složka,240,,18,,svazek,176,Vyznamenání profesora Prokopa Maxy
5ba1bb419d9a48fc9df72fe7992fb4f6,,složka,240,,19,,svazek,176,Průběh a výsledky jednání komise Rady vzájemné hospodářské pomoci pro spolupráci v oblasti obranného průmyslu
d7980af363104e919a47452130a2fb32,,složka,240,,20,,svazek,176,Předběžný rozbor návrhu vlády SSSR na úpravu úhrady na dodávky uranové rudy
ecc0d2916d6141a3812201b446e6966f,,složka,240,,21,,svazek,176,Návrh na další postup vůči NSR
013672b667534b818f80cf1ef7d7d208,,složka,240,,22,,svazek,176,Pozvání ČSR Spojenými státy k vyslání vědeckého pozorovatele a zástupce tisku k provedení pokusného nukleárního výbuchu
40b87b6764944ae29cfb83eaccaeff81,,složka,240,,23,,svazek,176,Příprava porady představitelů komunistických a dělnických stran v Moskvě
da4f48e741bf48f29b0b5e220c33f97c,,složka,240,,24,,svazek,176,Podepsání dohody o hraničních úpravách mezi ČSR a PLR (ústně)
ee6aa0dd541a46988c5e7cce3cd90ded,,složka,240,,25,,svazek,176,Informace Ústředního výboru KSSS ze dne 9. 5. 1958 o jeho dopisu Ústřednímu výboru Svazu komunistů Jugoslávie (ústně)
489460ac55c24901bb2c4c1bf5fc0dbb,,série,,,,,,,K informaci
e31ed80ed92248a2a2b5dc7c4076c93c,,složka,240,,1inf,,svazek,176,Zpráva o XIII. sjezdu Mongolské lidové revoluční strany
a0cf62326b3342adac72657d48322543,,série,,,,,,,Schůze Politického byra ÚV KSČ ze dne 27. května 1958
892e1f56f89c4e5cbc87b6cd98a1860c,,série,,,,,,,Program
2769f60d4e3f46989f12b041ab5f1d98,,složka,241,,0,,svazek,177,Zápis
a628edffe92344f884d40b0887f89a96,,složka,241,,1,,svazek,177,Některé otázky perspektivního rozvoje československého zemědělství
f408ee1f31804f7bb2931e188c3d8f1d,,složka,241,,2,,svazek,177,Hlavní směry k podstatnému zlepšení služeb pro obyvatelstvo do roku 1965
